Time,Val-,Sig
             17200, -0.00999999977648,  0.00999999977648
             17300,                -0,                 0
             17400, -0.00999999977648,  0.00999999977648
             17500,                -0,                 0
             17600,  -0.0141421342269,   0.0141421342269
             17700,  -0.0141421342269,   0.0141421342269
             17800,  -0.0141421342269,   0.0141421342269
             17900, -0.00999999977648,  0.00999999977648
             18000,  -0.0173205081373,   0.0173205081373
             18100,                -0,                 0
             18200,  -0.0141421342269,   0.0141421342269
             18300,  -0.0141421342269,   0.0141421342269
             18400, -0.00999999977648,  0.00999999977648
             18500, -0.00999999977648,  0.00999999977648
             18600,                -0,                 0
             18700,                -0,                 0
             18800,                -0,                 0
             18900, -0.00999999977648,  0.00999999977648
             19000,                -0,                 0
             19100, -0.00999999977648,  0.00999999977648
             19200,                -0,                 0
             19300,                -0,                 0
             19400, -0.00999999977648,  0.00999999977648
             19500, -0.00999999977648,  0.00999999977648
             19600, -0.00999999977648,  0.00999999977648
             19700,                -0,                 0
             19800, -0.00999999977648,  0.00999999977648
             19900,                -0,                 0
             20000,                -0,                 0
             20100,                -0,                 0
             20200,  -0.0173205081373,   0.0173205081373
             20300,                -0,                 0
             20400,                -0,                 0
             20500,                -0,                 0
             20600, -0.00999999977648,  0.00999999977648
             20700, -0.00999999977648,  0.00999999977648
             20800, -0.00999999977648,  0.00999999977648
             20900, -0.00999999977648,  0.00999999977648
             21000,                -0,                 0
             21100,  -0.0141421342269,   0.0141421342269
             21200,                -0,                 0
             21300,                -0,                 0
             21400, -0.00999999977648,  0.00999999977648
             21500,                -0,                 0
             21600,                -0,                 0
             21700,                -0,                 0
             21800,                -0,                 0
             21900, -0.00999999977648,  0.00999999977648
             22000,                -0,                 0
             22100, -0.00999999977648,  0.00999999977648
             22200,                -0,                 0
             22300,                -0,                 0
             22400,                -0,                 0
             22500,  -0.0141421342269,   0.0141421342269
             22600, -0.00999999977648,  0.00999999977648
             22700,                -0,                 0
             22800, -0.00999999977648,  0.00999999977648
             22900,                -0,                 0
             23000,                -0,                 0
             23100,                -0,                 0
             23200,                -0,                 0
             23300,                -0,                 0
             23400,                -0,                 0
             23500,  -0.0173205081373,   0.0173205081373
             23600,                -0,                 0
             23700,                -0,                 0
             23800,                -0,                 0
             23900, -0.00999999977648,  0.00999999977648
             24000,                -0,                 0
             24100, -0.00999999977648,  0.00999999977648
             24200, -0.00999999977648,  0.00999999977648
             24300, -0.00999999977648,  0.00999999977648
             24400, -0.00999999977648,  0.00999999977648
             24500, -0.00999999977648,  0.00999999977648
             24600,                -0,                 0
             24700,                -0,                 0
             24800, -0.00999999977648,  0.00999999977648
             24900, -0.00999999977648,  0.00999999977648
             25000,                -0,                 0
             25100, -0.00999999977648,  0.00999999977648
             25200, -0.00999999977648,  0.00999999977648
             25300,                -0,                 0
             25400, -0.00999999977648,  0.00999999977648
             25500,                -0,                 0
             25600, -0.00999999977648,  0.00999999977648
             25700,                -0,                 0
             25800,                -0,                 0
             25900, -0.00999999977648,  0.00999999977648
             26000,                -0,                 0
             26100,  -0.0141421342269,   0.0141421342269
             26200,                -0,                 0
             26300,                -0,                 0
             26400,                -0,                 0
             26500,                -0,                 0
             26600,  -0.0141421342269,   0.0141421342269
             26700, -0.00999999977648,  0.00999999977648
             26800,                -0,                 0
             26900, -0.00999999977648,  0.00999999977648
             27000, -0.00999999977648,  0.00999999977648
             27100,                -0,                 0
             27200,                -0,                 0
             27300,                -0,                 0
             27400, -0.00999999977648,  0.00999999977648
             27500,                -0,                 0
             27600,                -0,                 0
             27700,  -0.0141421342269,   0.0141421342269
             27800,                -0,                 0
             27900, -0.00999999977648,  0.00999999977648
             28000, -0.00999999977648,  0.00999999977648
             28100, -0.00999999977648,  0.00999999977648
             28200, -0.00999999977648,  0.00999999977648
             28300,  -0.0141421342269,   0.0141421342269
             28400,                -0,                 0
             28500,                -0,                 0
             28600,  -0.0141421342269,   0.0141421342269
             28700, -0.00999999977648,  0.00999999977648
             28800, -0.00999999977648,  0.00999999977648
             28900, -0.00999999977648,  0.00999999977648
             29000,                -0,                 0
             29100,                -0,                 0
             29200, -0.00999999977648,  0.00999999977648
             29300,                -0,                 0
             29400,                -0,                 0
             29500,                -0,                 0
             29600,                -0,                 0
             29700,                -0,                 0
             29800, -0.00999999977648,  0.00999999977648
             29900, -0.00999999977648,  0.00999999977648
             30000,                -0,                 0
             30100,                -0,                 0
             30200,                -0,                 0
             30300, -0.00999999977648,  0.00999999977648
             30400,                -0,                 0
             30500, -0.00999999977648,  0.00999999977648
             30600,                -0,                 0
             30700,                -0,                 0
             30800,                -0,                 0
             30900,  -0.0141421342269,   0.0141421342269
             31000, -0.00999999977648,  0.00999999977648
             31100,                -0,                 0
             31200,                -0,                 0
             31300, -0.00999999977648,  0.00999999977648
             31400,  -0.0141421342269,   0.0141421342269
             31500,                -0,                 0
             31600, -0.00999999977648,  0.00999999977648
             31700,                -0,                 0
             31800, -0.00999999977648,  0.00999999977648
             31900, -0.00999999977648,  0.00999999977648
             32000,  -0.0141421342269,   0.0141421342269
             32100,                -0,                 0
             32200,                -0,                 0
             32300, -0.00999999977648,  0.00999999977648
             32400, -0.00999999977648,  0.00999999977648
             32500, -0.00999999977648,  0.00999999977648
             32600,                -0,                 0
             32700,                -0,                 0
             32800,                -0,                 0
             32900,  -0.0173205081373,   0.0173205081373
             33000,                -0,                 0
             33100,                -0,                 0
             33200, -0.00999999977648,  0.00999999977648
             33300,                -0,                 0
             33400,                -0,                 0
             33500,  -0.0141421342269,   0.0141421342269
             33600,                -0,                 0
             33700,                -0,                 0
             33800, -0.00999999977648,  0.00999999977648
             33900,                -0,                 0
             34000,                -0,                 0
             34100,                -0,                 0
             34200,                -0,                 0
             34300,                -0,                 0
             34400,                -0,                 0
             34500, -0.00999999977648,  0.00999999977648
             34600, -0.00999999977648,  0.00999999977648
             34700, -0.00999999977648,  0.00999999977648
             34800,  -0.0141421342269,   0.0141421342269
             34900, -0.00999999977648,  0.00999999977648
             35000,                -0,                 0
             35100,                -0,                 0
             35200, -0.00999999977648,  0.00999999977648
             35300, -0.00999999977648,  0.00999999977648
             35400, -0.00999999977648,  0.00999999977648
             35500,                -0,                 0
             35600,                -0,                 0
             35700,                -0,                 0
             35800, -0.00999999977648,  0.00999999977648
             35900,                -0,                 0
             36000,                -0,                 0
             36100,                -0,                 0
             36200,                -0,                 0
             36300,                -0,                 0
             36400,                -0,                 0
             36500,                -0,                 0
             36600, -0.00999999977648,  0.00999999977648
             36700,                -0,                 0
             36800,                -0,                 0
             36900,                -0,                 0
             37000, -0.00999999977648,  0.00999999977648
             37100,                -0,                 0
             37200,                -0,                 0
             37300,                -0,                 0
             37400, -0.00999999977648,  0.00999999977648
             37500, -0.00999999977648,  0.00999999977648
             37600,  -0.0141421342269,   0.0141421342269
             37700,                -0,                 0
             37800,  -0.0141421342269,   0.0141421342269
             37900,  -0.0141421342269,   0.0141421342269
             38000, -0.00999999977648,  0.00999999977648
             38100, -0.00999999977648,  0.00999999977648
             38200, -0.00999999977648,  0.00999999977648
             38300,  -0.0141421342269,   0.0141421342269
             38400, -0.00999999977648,  0.00999999977648
             38500,                -0,                 0
             38600,  -0.0141421342269,   0.0141421342269
             38700, -0.00999999977648,  0.00999999977648
             38800,                -0,                 0
             38900, -0.00999999977648,  0.00999999977648
             39000,                -0,                 0
             39100,                -0,                 0
             39200,  -0.0141421342269,   0.0141421342269
             39300,                -0,                 0
             39400, -0.00999999977648,  0.00999999977648
             39500,                -0,                 0
             39600, -0.00999999977648,  0.00999999977648
             39700, -0.00999999977648,  0.00999999977648
             39800,                -0,                 0
             39900, -0.00999999977648,  0.00999999977648
             40000,                -0,                 0
             40100,                -0,                 0
             40200,                -0,                 0
             40300,                -0,                 0
             40400, -0.00999999977648,  0.00999999977648
             40500,                -0,                 0
             40600, -0.00999999977648,  0.00999999977648
             40700,                -0,                 0
             40800,                -0,                 0
             40900,                -0,                 0
             41000, -0.00999999977648,  0.00999999977648
             41100,                -0,                 0
             41200, -0.00999999977648,  0.00999999977648
             41300,                -0,                 0
             41400, -0.00999999977648,  0.00999999977648
             41500,                -0,                 0
             41600,  -0.0173205081373,   0.0173205081373
             41700,                -0,                 0
             41800,  -0.0141421342269,   0.0141421342269
             41900,                -0,                 0
             42000,                -0,                 0
             42100,  -0.0141421342269,   0.0141421342269
             42200,  -0.0141421342269,   0.0141421342269
             42300, -0.00999999977648,  0.00999999977648
             42400, -0.00999999977648,  0.00999999977648
             42500,                -0,                 0
             42600, -0.00999999977648,  0.00999999977648
             42700,  -0.0141421342269,   0.0141421342269
             42800,                -0,                 0
             42900,                -0,                 0
             43000,  -0.0141421342269,   0.0141421342269
             43100,                -0,                 0
             43200, -0.00999999977648,  0.00999999977648
             43300,                -0,                 0
             43400,  -0.0173205081373,   0.0173205081373
             43500,  -0.0141421342269,   0.0141421342269
             43600,                -0,                 0
             43700,                -0,                 0
             43800,  -0.0141421342269,   0.0141421342269
             43900, -0.00999999977648,  0.00999999977648
             44000, -0.00999999977648,  0.00999999977648
             44100,                -0,                 0
             44200,                -0,                 0
             44300,                -0,                 0
             44400, -0.00999999977648,  0.00999999977648
             44500,                -0,                 0
             44600, -0.00999999977648,  0.00999999977648
             44700, -0.00999999977648,  0.00999999977648
             44800, -0.00999999977648,  0.00999999977648
             44900,                -0,                 0
             45000,  -0.0141421342269,   0.0141421342269
             45100, -0.00999999977648,  0.00999999977648
             45200,                -0,                 0
             45300, -0.00999999977648,  0.00999999977648
             45400,                -0,                 0
             45500, -0.00999999977648,  0.00999999977648
             45600,  -0.0141421342269,   0.0141421342269
             45700,                -0,                 0
             45800,                -0,                 0
             45900, -0.00999999977648,  0.00999999977648
             46000,                -0,                 0
             46100,                -0,                 0
             46200,                -0,                 0
             46300, -0.00999999977648,  0.00999999977648
             46400,                -0,                 0
             46500,                -0,                 0
             46600,  -0.0173205081373,   0.0173205081373
             46700,                -0,                 0
             46800,  -0.0141421342269,   0.0141421342269
             46900,                -0,                 0
             47000, -0.00999999977648,  0.00999999977648
             47100,                -0,                 0
             47200,                -0,                 0
             47300,                -0,                 0
             47400, -0.00999999977648,  0.00999999977648
             47500,                -0,                 0
             47600,  -0.0141421342269,   0.0141421342269
             47700,                -0,                 0
             47800, -0.00999999977648,  0.00999999977648
             47900,                -0,                 0
             48000, -0.00999999977648,  0.00999999977648
             48100,                -0,                 0
             48200, -0.00999999977648,  0.00999999977648
             48300,                -0,                 0
             48400, -0.00999999977648,  0.00999999977648
             48500, -0.00999999977648,  0.00999999977648
             48600,                -0,                 0
             48700,                -0,                 0
             48800,                -0,                 0
