Phase(F=0.0000)(P=51715.538245)),Val-,Mean-,Sigma,Num
0.245574,  -0.0173205081373,-0.00670313,0.0173205,1219
0.247508,                -0,-0.00669591,0,1220
0.249441, -0.00999999977648,-0.00668842,0.01,1221
0.251375,  -0.0141421342269,-0.00668064,0.0141421,1222
0.253309,                -0,-0.00667256,0,1223
0.255242,                -0,-0.00666417,0,1224
0.257176,  -0.0141421342269,-0.00665546,0.0141421,1225
0.25911, -0.00999999977648,-0.00664641,0.01,1226
0.261043,                -0,-0.006637,0,1227
0.262977,                -0,-0.00662724,0,1228
0.264911,                -0,-0.0066171,0,1229
0.266844,                -0,-0.00660658,0,1230
0.268778,                -0,-0.00659565,0,1231
0.270712,                -0,-0.0065843,0,1232
0.272645,                -0,-0.00657253,0,1233
0.274579, -0.00999999977648,-0.00656032,0.01,1234
0.276513,  -0.0173205081373,-0.00654766,0.0173205,1235
0.278446,                -0,-0.00653453,0,1236
0.28038,                -0,-0.00652092,0,1237
0.282314,                -0,-0.00650682,0,1238
0.284247,                -0,-0.00649221,0,1239
0.286181, -0.00999999977648,-0.00647709,0.01,1240
0.288115, -0.00999999977648,-0.00646144,0.01,1241
0.290048, -0.00999999977648,-0.00644524,0.01,1242
0.291982,                -0,-0.00642849,0,1243
0.293916, -0.00999999977648,-0.00641117,0.01,1244
0.295849,                -0,-0.00639326,0,1245
0.297783,                -0,-0.00637476,0,1246
0.299716, -0.00999999977648,-0.00635566,0.01,1247
0.30165,                -0,-0.00633594,0,1248
0.303584,                -0,-0.00631562,0,1249
0.305517, -0.00999999977648,-0.00629474,0.01,1250
0.307451,                -0,-0.00627334,0,1251
0.309385, -0.00999999977648,-0.00625144,0.01,1252
0.311318,                -0,-0.00622908,0,1253
0.313252,  -0.0141421342269,-0.00620629,0.0141421,1254
0.315186, -0.00999999977648,-0.00618311,0.01,1255
0.317119, -0.00999999977648,-0.00615957,0.01,1256
0.319053,                -0,-0.0061357,0,1257
0.320987,                -0,-0.00611153,0,1258
0.32292,                -0,-0.00608711,0,1259
0.324854, -0.00999999977648,-0.00606246,0.01,1260
0.326788,                -0,-0.00603762,0,1261
0.328721,  -0.0141421342269,-0.00601261,0.0141421,1262
0.330655,                -0,-0.00598748,0,1263
0.332589, -0.00999999977648,-0.00596226,0.01,1264
0.334522, -0.00999999977648,-0.00593697,0.01,1265
0.336456,                -0,-0.00591166,0,1266
0.33839, -0.00999999977648,-0.00588635,0.01,1267
0.340323, -0.00999999977648,-0.00586108,0.01,1268
0.342257,                -0,-0.00583589,0,1269
0.344191,                -0,-0.00581081,0,1270
0.346124, -0.00999999977648,-0.00578586,0.01,1271
0.348058,                -0,-0.00576109,0,1272
0.349992, -0.00999999977648,-0.00573652,0.01,1273
0.351925, -0.00999999977648,-0.00571219,0.01,1274
0.353859,                -0,-0.00568814,0,1275
