Frequency,Theta
6.60022e-06,0.991723
6.60483e-06,0.992038
6.60944e-06,0.993398
6.61405e-06,0.994255
6.61867e-06,0.994451
6.62328e-06,0.994182
6.62789e-06,0.992079
6.6325e-06,0.991398
6.63711e-06,0.991135
6.64172e-06,0.99031
6.64633e-06,0.988674
6.65094e-06,0.989567
6.65556e-06,0.991152
6.66017e-06,0.990872
6.66478e-06,0.990789
6.66939e-06,0.991435
6.674e-06,0.990318
6.67861e-06,0.990709
6.68322e-06,0.989395
6.68783e-06,0.987479
6.69245e-06,0.988462
6.69706e-06,0.987853
6.70167e-06,0.989087
6.70628e-06,0.990683
6.71089e-06,0.991412
6.7155e-06,0.991893
6.72011e-06,0.992333
6.72472e-06,0.992726
6.72934e-06,0.992636
6.73395e-06,0.991146
6.73856e-06,0.992144
6.74317e-06,0.990498
6.74778e-06,0.991522
6.75239e-06,0.99193
6.757e-06,0.988867
6.76162e-06,0.988572
6.76623e-06,0.987848
6.77084e-06,0.986385
6.77545e-06,0.985038
6.78006e-06,0.983642
6.78467e-06,0.985549
6.78928e-06,0.987493
6.79389e-06,0.988479
6.79851e-06,0.990074
6.80312e-06,0.991017
6.80773e-06,0.990391
6.81234e-06,0.990585
6.81695e-06,0.99067
6.82156e-06,0.99038
6.82617e-06,0.991403
6.83078e-06,0.989868
6.8354e-06,0.991203
6.84001e-06,0.989865
6.84462e-06,0.99034
6.84923e-06,0.990671
6.85384e-06,0.989674
6.85845e-06,0.991008
6.86306e-06,0.990153
6.86767e-06,0.989519
6.87229e-06,0.989931
6.8769e-06,0.988803
6.88151e-06,0.988401
6.88612e-06,0.98888
6.89073e-06,0.989305
6.89534e-06,0.989911
6.89995e-06,0.990567
6.90456e-06,0.990541
6.90918e-06,0.991096
6.91379e-06,0.990369
6.9184e-06,0.990226
6.92301e-06,0.991297
6.92762e-06,0.990712
6.93223e-06,0.992725
6.93684e-06,0.991775
6.94145e-06,0.992525
6.94607e-06,0.994117
6.95068e-06,0.993314
6.95529e-06,0.993912
6.9599e-06,0.994507
6.96451e-06,0.993742
6.96912e-06,0.994899
6.97373e-06,0.993909
6.97834e-06,0.994332
6.98296e-06,0.994069
6.98757e-06,0.993765
6.99218e-06,0.994766
6.99679e-06,0.994836
7.0014e-06,0.994679
7.00601e-06,0.994347
7.01062e-06,0.993618
7.01523e-06,0.994172
7.01985e-06,0.994495
7.02446e-06,0.993812
7.02907e-06,0.994464
7.03368e-06,0.993412
7.03829e-06,0.994223
7.0429e-06,0.995265
7.04751e-06,0.993391
7.05213e-06,0.994403
7.05674e-06,0.994599
7.06135e-06,0.994286
7.06596e-06,0.994448
7.07057e-06,0.993124
7.07518e-06,0.994083
7.07979e-06,0.993546
7.0844e-06,0.995202
7.08902e-06,0.995896
7.09363e-06,0.995751
7.09824e-06,0.995386
7.10285e-06,0.99566
7.10746e-06,0.995209
7.11207e-06,0.993732
7.11668e-06,0.993211
7.12129e-06,0.991412
7.12591e-06,0.991072
7.13052e-06,0.990743
7.13513e-06,0.990962
7.13974e-06,0.991933
7.14435e-06,0.990081
7.14896e-06,0.991901
7.15357e-06,0.990952
7.15818e-06,0.990665
7.1628e-06,0.990515
7.16741e-06,0.989216
7.17202e-06,0.989698
7.17663e-06,0.988204
7.18124e-06,0.990097
7.18585e-06,0.990881
7.19046e-06,0.990739
7.19507e-06,0.990086
7.19969e-06,0.990325
7.2043e-06,0.990272
7.20891e-06,0.991743
7.21352e-06,0.991225
7.21813e-06,0.990367
7.22274e-06,0.990252
7.22735e-06,0.990727
7.23196e-06,0.991283
7.23658e-06,0.991854
7.24119e-06,0.990164
7.2458e-06,0.991709
7.25041e-06,0.989845
7.25502e-06,0.989386
7.25963e-06,0.988373
7.26424e-06,0.98762
7.26885e-06,0.985753
7.27347e-06,0.984374
7.27808e-06,0.984541
7.28269e-06,0.984346
7.2873e-06,0.985944
7.29191e-06,0.985565
7.29652e-06,0.986158
7.30113e-06,0.987256
7.30574e-06,0.988488
7.31036e-06,0.986881
7.31497e-06,0.9866
7.31958e-06,0.985934
7.32419e-06,0.986922
7.3288e-06,0.987351
7.33341e-06,0.988517
7.33802e-06,0.987793
7.34264e-06,0.988464
7.34725e-06,0.988106
7.35186e-06,0.987876
7.35647e-06,0.988594
7.36108e-06,0.985965
7.36569e-06,0.987273
7.3703e-06,0.986922
7.37491e-06,0.987625
7.37953e-06,0.987637
7.38414e-06,0.988364
7.38875e-06,0.988505
7.39336e-06,0.988959
7.39797e-06,0.988239
7.40258e-06,0.989758
7.40719e-06,0.987477
7.4118e-06,0.988133
7.41642e-06,0.988922
7.42103e-06,0.989246
7.42564e-06,0.98947
7.43025e-06,0.99065
7.43486e-06,0.99008
7.43947e-06,0.990765
7.44408e-06,0.990551
7.44869e-06,0.990736
7.45331e-06,0.991083
7.45792e-06,0.990556
7.46253e-06,0.990932
7.46714e-06,0.990578
7.47175e-06,0.989866
7.47636e-06,0.990812
7.48097e-06,0.992012
7.48558e-06,0.992071
7.4902e-06,0.991071
7.49481e-06,0.990379
7.49942e-06,0.991545
7.50403e-06,0.991009
7.50864e-06,0.991614
7.51325e-06,0.991461
7.51786e-06,0.99087
7.52247e-06,0.991902
7.52709e-06,0.99267
7.5317e-06,0.991816
7.53631e-06,0.991289
7.54092e-06,0.990635
7.54553e-06,0.990725
7.55014e-06,0.991196
7.55475e-06,0.991354
7.55936e-06,0.99118
7.56398e-06,0.990854
7.56859e-06,0.99171
7.5732e-06,0.992034
7.57781e-06,0.991151
7.58242e-06,0.990984
7.58703e-06,0.989873
7.59164e-06,0.989811
7.59625e-06,0.990014
7.60087e-06,0.98823
7.60548e-06,0.988094
7.61009e-06,0.987715
7.6147e-06,0.989045
7.61931e-06,0.988361
7.62392e-06,0.988744
7.62853e-06,0.987733
7.63315e-06,0.987855
7.63776e-06,0.987263
